mean monoisotopic m/z	average intensity	ms runs	percentage of spectra	theoretical m/z	delta PPM	primary identification	other identifications	labels
55.05419	11.1	15/15	0.7%	55.05423	0.73	IV-NH3	II-CH2-NH3, IL-CH2-NH3	IMM
56.04946	36.5	20/20	1.2%	56.04948	0.36	IT-H2O	IQ-CO-NH3, IK-C2H4-NH3, IR-C2H4N2-NH3	IMM
60.04436	38.3	21/21	1.9%	60.04439	0.5	IS		IMM
60.05558	20.8	13/21	1.9%	60.05562	0.67	IR-C4H7N		IMM
61.01063	22.5	14/21	1.4%	61.01065	0.33	IM-C2H2-NH3		IMM
69.03348	10.6	21/21	0.7%	69.03349	0.14	IV+CO-NH3-CH2	IL[Acetyl]-C3H6-NH3	IMM
69.06986	53.4	21/21	3.1%	69.06988	0.29	II-NH3	IL-NH3	COM, IMM
70.02873	31.8	15/21	3.2%	70.02874	0.14	ID-H2O	IN-NH3, b{S}-H2O, IS+CO-H2O, a{GG}-NH3	IMM
70.06512	504.5	21/21	8.8%	70.06513	0.14	IP	IR-CH5N3, IR-CH2N2-NH3	COM, IMM
71.06846	27.1	14/21	3.1%	71.06848	0.28	IP+i	IR-CH5N3+i, IR-CH2N2-NH3+i	IMM
72.04436	8.1	12/21	0.9%	72.04439	0.42	b{A}	y{A}-H2O	
72.08077	561.5	21/21	9.9%	72.08078	0.14	IV	II-CH2, IL-CH2	COM, IMM
73.02838	16.2	19/21	0.8%	73.02841	0.41	y{A}-NH3		
73.04678	12.7	21/21	0.7%	?	?	?	?	
73.0841	44.6	15/21	4.2%	73.08413	0.41	IV+i	II-CH2+i, IL-CH2+i	IMM
74.06003	226.9	21/21	8.3%	74.06004	0.14	IT		COM, IMM
75.05528	10.2	19/21	0.7%	75.05529	0.13	C2H7N2O		
80.05443	9.1	13/21	0.6%	?	?	?	?	
81.03349	76.1	18/21	5.0%	81.03349	0.0	b{P}-NH3	y{P}-H2O-NH3, IR+H2O-N3H7-NH3	
82.06514	8.9	12/21	1.4%	82.06513	-0.12	b{V}-H2O		
83.06038	42.5	18/21	5.1%	83.06037	-0.12	IQ-H2O	IR-CH6N2, a{AG}-H2O, IR-CH3N-NH3	IMM
84.0444	488.7	21/21	15.9%	84.04439	-0.12	IQ-NH3	IE-H2O, b{T}-H2O, IT+CO-H2O, a{AG}-NH3	COM, IMM
84.05562	13.8	6/21	1.2%	?	?	?	?	
84.07806	8.9	12/21	1.0%	?	?	?	?	
84.08078	812.3	21/21	18.3%	84.08078	0.0	IK-NH3		COM, IMM
85.01065	113.1	9/21	2.0%	85.01065	0.0	IM[Oxidation]-H2O-NH3	IM[Acetyl]-C2H2-H2O-NH3	IMM
85.02839	3.6	12/21	0.8%	85.02841	0.24	IE-NH3	b{T}-NH3, IT+CO-NH3, y{T}-H2O-NH3	IMM
85.03962	7.0	12/21	0.7%	?	?	?	?	
85.04774	4.4	12/21	1.0%	85.04774	0.0	IQ-NH3+i	IE-H2O+i, b{T}-H2O+i, IT+CO-H2O+i, a{AG}-NH3+i	IMM
85.06477	8.5	12/21	1.5%	?	?	?	?	
85.08411	48.2	15/21	6.6%	85.08413	0.24	IK-NH3+i		IMM
85.89047	1.6	4/21	0.7%	?	?	?	?	
86.06003	13.5	17/21	1.2%	86.06004	0.12	IL[Acetyl]-C3H6		IMM
86.09356	6.2	12/21	0.7%	?	?	?	?	
86.09643	1346.3	21/21	20.9%	86.09643	0.0	II	IL	COM, IMM
87.04405	59.2	21/21	2.4%	87.04406	0.11	C4H7O2		COM
87.05529	163.6	21/21	10.3%	87.05529	0.0	IN	a{GG}, IS+CO+NH3-H2O	COM, IMM
87.09978	169.2	21/21	11.0%	87.09978	0.0	II+i	IL+i	COM, IMM
88.03932	166.0	21/21	10.3%	88.0393	-0.23	ID	b{S}, IS+CO, y{S}-H2O	COM, IMM
89.05971	116.3	21/21	4.0%	89.05971	0.0	C4H9O2		COM
89.07095	11.3	16/21	0.8%	?	?	?	?	
90.06308	7.2	16/21	0.7%	?	?	?	?	
91.05428	15.8	18/21	2.0%	91.05423	-0.55	IF-CH3N	IY-CO-NH3	IMM
91.05739	15.8	21/21	1.0%	?	?	?	?	
92.01647	179.0	9/21	3.3%	?	?	?	?	
93.04479	18.5	12/21	4.2%	93.04472	-0.75	IH-NH3		IMM
94.04009	1.6	10/21	0.6%	?	?	?	?	
95.02403	15.9	12/21	1.4%	?	?	?	?	
95.06044	4.1	12/21	1.1%	95.06037	-0.74	IR-NH3-NH3		IMM
96.04442	19.0	12/21	3.0%	96.04439	-0.31	a{AS}-H2O-NH3	a{GT}-H2O-NH3	
96.05565	49.6	12/21	4.8%	?	?	?	?	
97.0284	301.0	10/21	22.8%	?	?	?	?	
98.02364	11.2	12/21	1.8%	98.02365	0.1	b{D}-H2O	b{N}-NH3, b{GG}-NH3, y{N}-H2O-NH3, y{GG}-H2O-NH3	
98.03173	10.1	12/21	1.7%	?	?	?	?	
98.06002	27.2	21/21	3.2%	98.06004	0.2	b{P}	y{P}-H2O, a{AA}-NH3, IR+H2O-N3H7	
98.98415	64.7	21/21	4.7%	98.98417	0.2	H4PO4		COM
99.04403	30.4	21/21	2.4%	99.04406	0.3	y{P}-NH3	IR+H2O+H2O-N3H7-NH3	
99.05527	16.7	15/21	2.2%	99.05529	0.2	a{GS}-H2O		
99.0804	4.2	12/21	0.6%	?	?	?	?	
100.04739	8.5	5/21	0.7%	100.04741	0.2	y{P}-NH3+i	IR+H2O+H2O-N3H7-NH3+i	
100.07569	12.8	74/81	1.6%	100.07569	0.0	b{V}	y{V}-H2O	
100.08694	7.3	8/81	1.0%	100.08692	-0.2	IR-CH3N		IMM
101.0032	11.0	3/81	1.1%	?	?	?	?	
101.00555	5.9	13/81	0.9%	?	?	?	?	
101.0597	10.6	24/81	1.6%	101.05971	0.1	y{V}-NH3		
101.07094	398.7	82/82	39.3%	101.07094	0.0	IQ	a{AG}, IT+CO+NH3-H2O	COM, IMM
101.10733	56.2	82/82	9.2%	101.10732	-0.1	IK		COM, IMM
101.79235	1.6	5/82	1.2%	?	?	?	?	
101.94797	1.5	3/82	1.1%	?	?	?	?	
102.05496	389.7	82/82	36.2%	102.05495	-0.1	IE	b{T}, IT+CO, y{T}-H2O	COM, IMM
102.0675	9.2	21/82	0.9%	?	?	?	?	
102.07431	1.9	31/82	0.9%	102.07429	-0.2	IQ+i	a{AG}+i, IT+CO+NH3-H2O+i	IMM
102.09134	8.0	20/82	1.0%	102.09134	0.0	C5H12NO		
102.35916	1.6	4/82	1.1%	?	?	?	?	
103.03898	7.6	15/82	0.8%	103.03897	-0.1	y{T}-NH3		
103.05424	24.1	76/82	4.7%	103.05423	-0.1	IF-NH3		IMM
103.05838	2.2	21/82	0.6%	103.0583	-0.78	IE+i	b{T}+i, IT+CO+i, y{T}-H2O+i	IMM
103.50753	1.5	3/82	1.0%	?	?	?	?	
104.05283	232.4	82/82	21.5%	104.05285	0.19	IM		COM, IMM
104.07062	7.7	14/82	0.9%	104.07061	-0.1	C4H10NO2		
104.08918	1.6	5/82	1.1%	?	?	?	?	
104.107	6.0	8/82	0.6%	?	?	?	?	
104.97075	2.2	6/82	1.6%	?	?	?	?	
105.05629	5.2	29/82	1.4%	105.0562	-0.86	IM+i		IMM
105.06585	33.8	81/82	3.3%	105.06585	0.0	C3H9N2O2	IS+CO+NH3	
105.86359	2.5	6/82	1.7%	?	?	?	?	
106.04864	4.7	32/82	1.4%	106.04853	-1.04	CH6N4O2	IH+CO-H2O-NH+i	
106.76787	2.8	6/82	1.9%	?	?	?	?	
107.04919	7.8	52/82	1.4%	107.04914	-0.47	IY-CH3N		IMM
107.37689	3.2	6/82	2.3%	?	?	?	?	
107.68351	1.3	3/82	1.0%	?	?	?	?	
107.99141	1.9	6/82	1.3%	?	?	?	?	
108.04444	17.9	23/82	1.3%	108.04439	-0.46	b{AA}-H2O-NH3		
108.30052	3.5	6/82	2.5%	?	?	?	?	
108.61132	2.7	6/82	1.9%	?	?	?	?	
109.06484	3.6	5/82	0.8%	?	?	?	?	
109.07608	6.5	12/82	0.6%	109.07602	-0.55	a{GP}-H2O		
109.10117	12.3	57/82	1.7%	109.10118	0.09	C8H13		
109.23593	2.0	6/82	1.4%	?	?	?	?	
109.86678	3.4	6/82	2.4%	?	?	?	?	
110.06008	4.3	52/94	2.5%	110.06004	-0.36	a{GP}-NH3	a{AT}-H2O-NH3	
110.06293	0.6	15/94	0.6%	?	?	?	?	
110.06731	3.4	20/94	3.2%	?	?	?	?	
110.07127	966.0	94/94	58.4%	110.07127	0.0	IH		COM, IMM
110.07467	2.7	10/94	2.9%	?	?	?	?	
110.07553	3.7	3/94	3.0%	?	?	?	?	
110.07944	8.4	45/94	0.7%	110.07937	-0.64	a{GP}-H2O+i		
110.09645	1.5	40/94	0.9%	110.09643	-0.18	C7H12N	IL[Acetyl]-H2O	
110.10447	0.7	13/94	0.7%	?	?	?	?	
110.5027	4.8	6/94	3.6%	?	?	?	?	
110.82291	3.0	6/94	2.3%	?	?	?	?	
111.04406	7.4	36/94	1.9%	111.04406	0.0	C6H7O2		
111.05533	7.3	47/94	1.2%	111.05529	-0.36	b{Q}-H2O	IQ+CO-H2O, b{AG}-H2O	
111.06827	2.5	24/94	1.1%	?	?	?	?	
111.07283	1.8	17/94	0.8%	?	?	?	?	
111.07478	33.3	86/94	8.0%	111.07462	-1.44	IH+i		IMM
111.0804	2.8	14/94	2.8%	111.08044	0.36	IL[Acetyl]-NH3		IMM
111.0917	4.8	66/94	1.3%	111.09167	-0.27	b{K}-H2O	IK+CO-H2O, a{GV}-H2O	
111.11677	5.4	19/94	2.5%	?	?	?	?	
111.14419	2.3	6/94	1.8%	?	?	?	?	
111.46698	2.2	6/94	1.8%	?	?	?	?	
111.79162	4.8	6/94	3.7%	?	?	?	?	
112.04731	1.1	12/94	0.6%	?	?	?	?	
112.05055	175.6	21/94	12.5%	?	?	?	?	
112.0757	9.0	81/94	2.2%	112.07569	-0.09	b{K}-NH3	IK+CO-NH3, a{GV}-NH3, y{K}-H2O-NH3	
112.08346	0.4	7/94	1.2%	112.08379	2.94	IL[Acetyl]-NH3+i		IMM
112.08691	89.2	94/94	20.9%	112.08692	0.09	IR-NH3		COM, IMM
112.0905	0.8	12/94	0.9%	?	?	?	?	
112.09936	1.1	4/94	0.7%	?	?	?	?	
112.11209	1.9	20/94	1.1%	?	?	?	?	
112.11707	1.8	6/94	1.4%	?	?	?	?	
112.44419	3.4	6/94	2.6%	?	?	?	?	
112.77274	4.8	6/94	3.8%	?	?	?	?	
113.04757	6.9	12/94	1.2%	?	?	?	?	
113.05386	30.1	12/94	2.8%	?	?	?	?	
113.05968	10.8	79/94	3.2%	113.05971	0.27	IK+CO+H2O-NH3-NH3		IMM
113.07094	32.9	94/94	8.0%	113.07094	0.0	a{AS}-H2O	a{GT}-H2O	
113.09035	0.5	8/94	0.9%	113.09027	-0.71	IR-NH3+i		IMM
113.09607	0.9	11/94	0.9%	?	?	?	?	
113.10731	2.1	52/94	0.8%	113.10733	0.18	C6H13N2		
113.43428	4.5	6/94	3.4%	?	?	?	?	
113.58676	1.9	12/94	1.4%	?	?	?	?	
113.767	8.5	6/94	6.4%	?	?	?	?	
113.9637	2.3	11/94	3.2%	?	?	?	?	
114.05497	4.7	40/94	1.1%	114.05495	-0.18	a{AS}-NH3	a{GT}-NH3	
114.06303	0.6	7/94	0.6%	114.06306	0.26	IK+CO+H2O-NH3-NH3+i		IMM
114.06616	3.9	22/94	0.8%	114.06619	0.26	C4H8N3O		
114.09134	5.5	71/94	1.5%	114.09134	0.0	b{I}	b{L}, y{I}-H2O, y{L}-H2O, IL[Acetyl]-CH2	
114.10213	2.2	6/94	1.5%	114.10257	3.86	C5H12N3		
