mz	intensity	ms runs	percentage	theoretical m/z	delta PPM	primary identification	other identifications
55.05419	102.4	14/14	0.7%	55.05423	0.73	IV-NH3	['II-CH2-NH3', 'IL-CH2-NH3']
56.04946	380.4	19/19	1.2%	56.04948	0.36	IK-C2H4-NH3	['IQ-CO-NH3', 'IR-C2H4N2-NH3', 'IT-H2O']
57.03344	22.1	5/19	0.3%	57.03349	0.88	IT-NH3	[]
57.06984	33.1	11/19	0.2%	?	?	?	?
58.04128	11.9	2/19	0.1%	?	?	?	?
58.06508	17.0	4/19	0.2%	?	?	?	?
59.04911	23.0	3/19	0.1%	?	?	?	?
60.04436	506.1	20/20	1.8%	60.04439	0.5	IS	[]
60.05558	164.9	12/20	1.9%	60.05562	0.67	IR-C4H7N	[]
61.01062	158.6	13/20	1.4%	61.01065	0.49	IM-C2H2-NH3	[]
67.05418	17.0	1/20	0.2%	67.05423	0.75	IK-NH3-NH3	[]
68.04946	11.9	2/20	0.2%	68.04948	0.29	IL[Acetyl]-C3H6-H2O	[]
69.03347	102.3	20/20	0.7%	69.03349	0.29	IV+CO-NH3-CH2	['IL[Acetyl]-C3H6-NH3']
69.04471	26.3	11/20	0.4%	69.04472	0.14	IN-H2O	['a(GG)-H2O']
69.06986	537.0	20/20	3.0%	69.06988	0.29	II-NH3	['IL-NH3']
70.02873	223.2	14/20	3.2%	70.02874	0.14	ID-H2O	['IN-NH3', 'IS+CO-H2O', 'b(S)-H2O', 'a(GG)-NH3']
70.06307	34.5	11/20	0.4%	?	?	?	?
70.06511	4938.2	20/20	8.7%	70.06513	0.29	IP	['IR-CH5N3', 'IR-CH2N2-NH3']
70.06926	94.3	1/20	0.1%	?	?	?	?
71.04911	22.3	11/20	0.4%	?	?	?	?
71.06846	208.0	13/20	3.1%	71.06848	0.28	IP+i	['IR-CH5N3+i', 'IR-CH2N2-NH3+i']
71.08552	109.1	20/20	0.4%	71.08553	0.14	C5H11	[]
72.04436	60.8	11/20	0.8%	72.04439	0.42	b(A)	['y(A)-H2O']
72.07863	49.6	1/20	0.8%	?	?	?	?
72.08076	5388.5	20/20	9.8%	72.08078	0.28	II-CH2	['IL-CH2', 'IV']
72.08293	19.1	3/20	0.2%	?	?	?	?
73.02838	168.2	18/20	0.8%	73.02841	0.41	y(A)-NH3	[]
73.04678	167.6	20/20	0.7%	?	?	?	?
73.06476	60.2	19/20	0.4%	73.06479	0.41	C4H9O	[]
73.0841	315.8	14/20	4.1%	73.08413	0.41	II-CH2+i	['IL-CH2+i', 'IV+i']
74.06003	2608.8	20/20	8.1%	74.06004	0.14	IT	[]
75.0263	10.9	3/20	0.2%	?	?	?	?
75.04407	511.4	12/20	0.5%	75.04406	-0.13	C3H7O2	[]
75.05527	91.2	18/20	0.7%	75.05529	0.27	C2H7N2O	[]
75.06337	15.1	5/20	0.3%	75.06339	0.27	IT+i	[]
75.07555	20.9	1/20	0.7%	?	?	?	?
76.02155	9.1	1/20	0.3%	76.02155	0.0	IC	[]
79.61344	13.6	1/20	1.3%	?	?	?	?
79.61911	26.0	2/20	2.0%	?	?	?	?
79.62193	10.3	1/20	1.3%	?	?	?	?
79.63339	30.6	1/20	2.4%	?	?	?	?
79.67633	12.6	1/20	1.0%	?	?	?	?
79.67765	9.1	1/20	0.6%	?	?	?	?
79.68164	19.9	1/20	1.6%	?	?	?	?
79.68221	19.7	1/20	1.2%	?	?	?	?
79.68587	22.5	1/20	2.1%	?	?	?	?
79.68878	23.1	1/20	1.4%	?	?	?	?
79.68923	217.8	1/20	4.8%	?	?	?	?
79.66664	16.7	1/20	1.1%	?	?	?	?
79.66713	16.4	1/20	1.0%	?	?	?	?
79.70227	23.1	1/20	4.1%	?	?	?	?
79.74171	20.1	1/20	1.3%	?	?	?	?
79.75555	21.0	1/20	1.1%	?	?	?	?
79.75666	20.9	1/20	1.2%	?	?	?	?
79.75893	20.4	1/20	1.1%	?	?	?	?
79.76052	20.3	1/20	1.0%	?	?	?	?
79.75997	18.5	1/20	1.1%	?	?	?	?
80.04948	13.6	9/20	0.3%	80.04948	0.0	b(P)-H2O	['a(AA)-H2O-NH3']
80.05442	86.9	12/20	0.6%	?	?	?	?
81.03349	530.5	17/20	4.9%	81.03349	0.0	b(P)-NH3	['y(P)-H2O-NH3', 'IR+H2O-N3H7-NH3']
81.06988	31.6	11/20	0.5%	?	?	?	?
82.03686	19.8	11/20	0.5%	82.03684	-0.24	b(P)-NH3+i	['y(P)-H2O-NH3+i', 'IR+H2O-N3H7-NH3+i']
82.06514	62.8	11/20	1.4%	82.06513	-0.12	b(V)-H2O	[]
83.04914	42.6	17/20	0.5%	83.04914	0.0	b(V)-NH3	['y(V)-H2O-NH3']
83.06038	378.1	17/20	5.2%	83.06037	-0.12	IR-CH6N2	['IQ-H2O', 'IR-CH3N-NH3', 'a(AG)-H2O']
83.08553	12.9	2/20	0.2%	?	?	?	?
84.04176	18.2	7/20	0.4%	?	?	?	?
84.0444	4843.4	20/20	15.6%	84.04439	-0.12	IQ-NH3	['IE-H2O', 'IT+CO-H2O', 'b(T)-H2O', 'a(AG)-NH3']
84.04702	10.6	3/20	0.2%	?	?	?	?
84.05561	29.3	5/20	1.0%	?	?	?	?
84.07806	36.4	11/20	1.0%	?	?	?	?
84.08078	8398.8	20/20	18.1%	84.08078	0.0	IK-NH3	[]
84.08344	32.5	11/20	0.4%	?	?	?	?
85.01065	3506.9	9/20	2.0%	85.01065	0.0	IM[Acetyl]-C2H2-NH3-H2O	['IM[Oxidation]-H2O-NH3']
85.02839	30.1	11/20	0.8%	85.02841	0.24	IT+CO-NH3	['IE-NH3', 'b(T)-NH3', 'y(T)-H2O-NH3']
85.03962	51.1	11/20	0.7%	?	?	?	?
85.04774	35.7	11/20	1.0%	85.04774	0.0	IQ-NH3+i	['IE-H2O+i', 'IT+CO-H2O+i', 'b(T)-H2O+i', 'a(AG)-NH3+i']
85.06477	66.6	11/20	1.6%	?	?	?	?
85.08411	380.4	14/20	6.7%	85.08413	0.24	IK-NH3+i	[]
85.10116	28.1	11/20	0.3%	?	?	?	?
85.89047	11.8	4/20	0.7%	?	?	?	?
86.0544	11.6	1/20	0.3%	?	?	?	?
86.06003	116.9	16/20	1.1%	86.06004	0.12	IL[Acetyl]-C3H6	[]
86.09104	351.9	4/20	0.2%	?	?	?	?
86.09356	56.8	11/20	0.7%	?	?	?	?
86.09643	12491.2	20/20	20.8%	86.09643	0.0	II	['IL']
86.09935	23.7	10/20	0.3%	?	?	?	?
86.10193	339.7	5/20	0.2%	?	?	?	?
86.30312	10.1	2/20	0.6%	?	?	?	?
87.04405	579.1	20/20	2.4%	87.04406	0.11	C4H7O2	[]
87.05529	1607.2	20/20	10.1%	87.05529	0.0	IN	['a(GG)', 'IS+CO+NH3-H2O']
87.06227	12.5	1/20	0.2%	?	?	?	?
87.09978	1378.3	20/20	10.8%	87.09978	0.0	II+i	['IL+i']
88.02156	18.4	10/20	0.5%	?	?	?	?
88.03932	1630.0	20/20	10.1%	88.0393	-0.23	ID	['b(S)', 'IS+CO', 'y(S)-H2O']
88.04743	18.6	2/20	0.4%	?	?	?	?
89.05971	1104.8	20/20	3.9%	89.05971	0.0	C4H9O2	[]
89.07095	104.6	15/20	0.8%	?	?	?	?
90.00085	14.6	7/20	0.3%	?	?	?	?
90.06308	69.9	15/20	0.7%	?	?	?	?
91.05428	145.7	17/20	2.0%	91.05423	-0.55	IF-CH3N	['IY-CO-NH3']
91.05739	175.8	20/20	1.0%	?	?	?	?
91.06389	13.9	1/20	0.2%	?	?	?	?
91.07543	11.8	1/20	0.4%	?	?	?	?
92.01647	5274.8	9/20	3.3%	?	?	?	?
93.01022	17.7	4/20	0.3%	?	?	?	?
93.04479	159.2	11/20	4.5%	93.04472	-0.75	IH-NH3	[]
93.05735	13.6	10/20	0.2%	?	?	?	?
93.06995	14.7	5/20	0.5%	93.06988	-0.75	IL[Acetyl]-H2O-NH3	[]
94.04009	10.8	9/20	0.6%	?	?	?	?
94.06518	33.4	11/20	0.5%	94.06513	-0.53	IK+CO-NH3-H2O	['IK+CO-H2O-NH3', 'b(K)-H2O-NH3', 'a(GV)-H2O-NH3']
95.02403	102.2	11/20	1.4%	?	?	?	?
95.04916	286.1	10/20	0.5%	95.04914	-0.21	IK+CO-NH3-NH3	[]
95.06044	27.1	11/20	1.1%	95.06037	-0.74	IR-NH3-NH3	[]
95.08558	18.6	2/20	0.4%	?	?	?	?
96.04442	139.1	11/20	3.1%	96.04439	-0.31	a(AS)-H2O-NH3	['a(GT)-H2O-NH3']
96.05565	370.8	11/20	4.9%	?	?	?	?
97.0284	2427.5	9/20	22.8%	?	?	?	?
97.03961	15.0	7/20	0.3%	97.03964	0.31	b(N)-H2O	['b(GG)-H2O']
97.05895	16.3	6/20	0.4%	?	?	?	?
97.06479	13.9	4/20	0.4%	97.06479	0.0	b(I)-NH3	['y(I)-H2O-NH3', 'b(L)-NH3', 'y(L)-H2O-NH3', 'IL[Acetyl]-CH2-NH3']
98.02364	81.1	11/20	1.8%	98.02365	0.1	b(D)-H2O	['b(N)-NH3', 'y(N)-H2O-NH3', 'b(GG)-NH3', 'y(GG)-H2O-NH3']
98.03173	55.9	11/20	1.6%	?	?	?	?
98.06002	318.9	20/20	3.2%	98.06004	0.2	b(P)	['y(P)-H2O', 'IR+H2O-N3H7', 'a(AA)-NH3']
98.09642	10.9	2/20	0.5%	?	?	?	?
98.98416	616.5	20/20	4.6%	?	?	?	?
99.04403	622.4	20/20	2.2%	99.04406	0.3	y(P)-NH3	['IR+H2O+H2O-N3H7-NH3']
99.05527	130.9	14/20	2.2%	99.05529	0.2	a(GS)-H2O	[]
99.08041	33.2	11/20	0.5%	?	?	?	?
99.09165	12.3	7/20	0.4%	?	?	?	?
100.04739	69.6	4/20	0.7%	100.04741	0.2	y(P)-NH3+i	['IR+H2O+H2O-N3H7-NH3+i']
100.05051	12.8	5/20	0.4%	100.05009	-4.2	IW-C2H4N-H2O+i	[]
100.07569	117.8	71/78	1.6%	100.07569	0.0	b(V)	['y(V)-H2O']
100.08694	69.0	8/78	1.0%	100.08692	-0.2	IR-CH3N	[]
100.11209	24.6	12/78	0.2%	100.11208	-0.1	C6H14N	[]
101.0032	57.4	3/78	1.1%	?	?	?	?
101.00555	61.7	13/78	0.9%	?	?	?	?
101.01683	7.9	1/78	0.2%	?	?	?	?
101.0233	81.3	26/78	0.3%	101.02332	0.2	C4H5O3	[]
101.0597	84.2	23/78	1.5%	101.05971	0.1	y(V)-NH3	[]
101.06421	7.2	3/79	0.2%	?	?	?	?
101.07094	4782.6	79/79	39.1%	101.07094	0.0	IQ	['a(AG)', 'IT+CO+NH3-H2O']
101.10733	538.8	79/79	9.1%	101.10732	-0.1	IK	[]
101.79235	15.7	5/79	1.2%	?	?	?	?
101.94752	14.4	2/79	1.2%	?	?	?	?
101.94797	14.8	3/79	1.1%	?	?	?	?
102.00082	11.4	15/79	0.4%	?	?	?	?
102.04773	12.0	11/79	0.2%	?	?	?	?
102.05495	3618.6	79/79	35.9%	102.05495	0.0	IE	['b(T)', 'IT+CO', 'y(T)-H2O']
102.0675	62.8	19/79	0.9%	?	?	?	?
102.07431	30.5	30/79	0.9%	102.07429	-0.2	IQ+i	['a(AG)+i', 'IT+CO+NH3-H2O+i']
102.09134	88.7	19/79	1.0%	102.09134	0.0	C5H12NO	[]
102.35916	14.2	4/79	1.1%	?	?	?	?
102.56924	24.5	2/79	0.6%	?	?	?	?
103.02121	169.4	4/79	0.4%	103.02121	0.0	IM[Acetyl]-C2H2-NH3	['IM[Oxidation]-NH3']
103.03898	70.8	14/79	0.8%	103.03897	-0.1	y(T)-NH3	[]
103.05424	237.9	73/79	4.7%	103.05423	-0.1	IF-NH3	[]
103.05836	16.5	20/79	0.6%	103.0583	-0.58	IE+i	['b(T)+i', 'IT+CO+i', 'y(T)-H2O+i']
103.07535	17.9	13/79	0.4%	?	?	?	?
103.50753	13.1	3/79	1.0%	?	?	?	?
104.04555	22.9	11/79	0.3%	?	?	?	?
104.05283	2554.8	79/79	21.1%	104.05285	0.19	IM	[]
104.06009	9.6	1/79	0.1%	?	?	?	?
104.07062	62.1	12/79	0.8%	104.07061	-0.1	C4H10NO2	[]
104.08918	13.8	4/79	1.1%	?	?	?	?
104.107	55.2	8/79	0.6%	?	?	?	?
104.97075	20.2	5/79	1.6%	?	?	?	?
104.98268	126.3	1/79	0.7%	?	?	?	?
105.03345	55.0	1/79	0.4%	?	?	?	?
105.05629	38.6	27/79	1.4%	105.0562	-0.86	IM+i	[]
105.06585	338.9	78/79	3.3%	105.06585	0.0	IS+CO+NH3	['C3H9N2O2']
105.8636	22.7	5/79	1.7%	?	?	?	?
106.04864	80.7	30/79	1.4%	106.04853	-1.04	CH6N4O2	['IH+CO-NH-H2O+i']
106.0499	98.9	3/79	0.1%	106.04987	-0.28	y(S)	[]
106.16392	9.0	1/79	1.1%	?	?	?	?
106.16462	9.1	1/79	1.2%	?	?	?	?
106.16525	9.3	1/79	1.2%	?	?	?	?
106.16678	7.7	1/79	1.0%	?	?	?	?
106.16796	8.5	1/79	1.1%	?	?	?	?
106.17192	7.3	1/79	1.0%	?	?	?	?
106.17275	7.6	1/79	1.0%	?	?	?	?
106.17398	6.4	1/79	0.9%	?	?	?	?
106.76786	26.1	5/79	2.0%	?	?	?	?
107.04919	69.0	49/79	1.4%	107.04914	-0.47	IY-CH3N	[]
107.07035	32.5	12/79	0.5%	?	?	?	?
107.08548	15.9	4/79	0.4%	?	?	?	?
107.37689	29.4	5/79	2.3%	?	?	?	?
107.6835	11.7	2/79	0.9%	?	?	?	?
107.99142	16.8	5/79	1.3%	?	?	?	?
108.04444	121.3	21/79	1.3%	108.04439	-0.46	b(AA)-H2O-NH3	[]
108.30051	32.2	5/79	2.6%	?	?	?	?
108.6113	24.4	5/79	1.9%	?	?	?	?
109.02847	21.6	10/79	0.5%	?	?	?	?
109.04781	11.8	7/79	0.3%	109.04774	-0.64	b(AA)-H2O-NH3+i	[]
109.06484	27.3	5/79	0.8%	?	?	?	?
109.07607	49.6	11/79	0.6%	109.07602	-0.46	a(GP)-H2O	[]
109.10116	113.2	55/79	1.8%	109.10118	0.18	C8H13	[]
109.23593	19.0	5/79	1.4%	?	?	?	?
109.86677	31.0	5/79	2.4%	?	?	?	?
110.03496	16.3	9/79	0.4%	?	?	?	?
110.06008	49.2	43/85	2.7%	110.06004	-0.36	a(AT)-H2O-NH3	['a(GP)-NH3']
110.06291	9.8	14/85	0.7%	?	?	?	?
110.06321	9.8	2/85	0.6%	?	?	?	?
110.0673	23.9	14/85	2.6%	?	?	?	?
110.07127	10000.0	85/85	57.5%	110.07127	0.0	IH	[]
110.07468	118.2	5/85	2.9%	?	?	?	?
110.07474	92.6	1/85	3.2%	?	?	?	?
110.07553	224.5	1/85	2.9%	?	?	?	?
110.07944	78.8	43/85	0.7%	110.07937	-0.64	a(GP)-H2O+i	[]
110.09645	31.3	32/85	0.8%	110.09643	-0.18	IL[Acetyl]-H2O	['C7H12N']
110.10448	26.2	7/85	0.7%	?	?	?	?
110.5027	43.8	5/85	3.7%	?	?	?	?
110.8229	27.9	5/85	2.4%	?	?	?	?
