mean monoisotopic m/z	average intensity	ms runs	percentage of spectra	theoretical m/z	delta PPM	primary identification	other identifications	labels
55.05418	9.9	1/1	0.8%	55.05423	0.91	IV-NH3	II-CH2-NH3, IL-CH2-NH3	IMM
100.07568	12.2	3/4	1.9%	100.07569	0.1	b(V)	y(V)-H2O	
101.07096	353.1	4/4	48.9%	101.07094	-0.2	IQ	a(AG), IT+CO+NH3-H2O	IMM
101.10731	45.2	4/4	11.6%	101.10732	0.1	IK		IMM
102.05497	392.6	4/4	51.2%	102.05495	-0.2	IE	b(T), IT+CO, y(T)-H2O	IMM
103.05419	22.3	3/4	5.9%	103.05423	0.39	IF-NH3		IMM
104.05286	311.9	4/4	37.0%	104.05285	-0.1	IM		IMM
105.06588	18.5	4/4	3.6%	105.06585	-0.29	C3H9N2O2	IS+CO+NH3	
106.04865	5.2	3/4	2.3%	106.04853	-1.13	CH6N4O2	IH+CO-H2O-NH+i	
110.0713	977.6	4/4	56.0%	110.07127	-0.27	IH		IMM
111.07474	49.6	3/4	13.2%	111.07462	-1.08	IH+i		IMM
112.08691	129.5	4/4	29.4%	112.08692	0.09	IR-NH3		IMM
113.07091	50.8	4/4	13.2%	113.07094	0.27	a(AS)-H2O	a(GT)-H2O	
114.09133	5.2	3/4	1.6%	114.09134	0.09	b(I)	b(L), y(I)-H2O, y(L)-H2O, IL[Acetyl]-CH2	
115.05021	17.0	4/4	5.1%	115.0502	-0.09	b(N)	b(GG), y(N)-H2O, y(GG)-H2O	
115.08658	146.4	4/4	30.7%	115.08659	0.09	a(AA)		
116.01645	12.0	3/4	2.7%	116.01646	0.09	a(CG)-NH3	IC[Carbamidomethyl]-NH3	
116.07058	89.7	4/4	23.1%	116.0706	0.17	y(P)	IR+H2O+H2O-N3H7	
117.06583	10.7	4/4	2.0%	117.06585	0.17	a(GS)		
117.10224	9.7	4/4	2.1%	117.10224	0.0	C5H13N2O		
119.04912	27.9	4/4	8.1%	119.04914	0.17	IY-NH3		IMM
119.08152	11.7	3/4	3.5%	119.0815	-0.17	IT+CO+NH3	C4H11N2O2	IMM
120.08078	1028.9	4/4	55.2%	120.08078	0.0	IF		IMM
121.08419	82.8	4/4	17.1%	121.08413	-0.5	IF+i		IMM
126.05495	16.1	4/4	5.9%	126.05495	0.0	b(AA)-NH3	y(AA)-H2O-NH3, a(ST)-H2O-NH3	
126.09132	6.4	3/4	1.4%	126.09134	0.16	a(AV)-NH3	a(GI)-NH3, a(GL)-NH3	
127.05019	19.2	4/4	4.9%	127.0502	0.08	a(DG)-H2O	a(GN)-NH3, b(GS)-H2O, a(GGG)-NH3	
127.08658	84.5	4/4	18.1%	127.08659	0.08	a(GP)	a(AT)-H2O	
128.10695	17.9	4/4	3.9%	128.10699	0.31	IL[Acetyl]		IMM
129.06585	120.0	4/4	33.9%	129.06585	0.0	b(Q)	IQ+CO, b(AG), y(Q)-H2O, y(AG)-H2O, a(SS)-H2O	
129.10224	1287.7	4/4	70.8%	129.10224	0.0	b(K)	IK+CO, a(GV), y(K)-H2O	
130.04987	47.1	4/4	13.9%	130.04987	0.0	b(E)	y(E)-H2O, y(Q)-NH3, y(AG)-NH3, a(SS)-NH3	
130.06514	65.1	4/4	11.9%	130.06513	-0.08	IW-CH3N	b(F)-H2O	IMM
130.08628	570.0	4/4	59.2%	130.08626	-0.15	y(K)-NH3	IK+CO+H2O-NH3	
130.10557	78.2	3/4	28.4%	130.10559	0.15	b(K)+i	IK+CO+i, a(GV)+i, y(K)-H2O+i	
131.0814	37.8	4/4	8.4%	131.0815	0.76	a(AS)	a(GT)	
131.08991	16.0	3/4	5.3%	131.08961	-2.29	y(K)-NH3+i	IK+CO+H2O-NH3+i	
131.11787	29.1	4/4	7.2%	131.11789	0.15	C6H15N2O		
132.07674	6.5	4/4	1.5%	132.07675	0.08	C4H10N3O2		
132.08076	26.4	4/4	5.8%	132.08078	0.15	IW-CHN	a(PP)-H2O-NH3	IMM
132.10192	3.8	3/4	0.6%	132.10191	-0.08	y(I)	y(L)	
133.043	64.4	4/4	15.3%	133.04301	0.08	a(CG)	IC[Carbamidomethyl]	
